time,required,actual
18:10,22,23.0
18:15,21,23.0
18:20,21,23.0
18:25,20,23.0
18:30,20,22.0
18:35,19,22.0
18:40,19,22.0
18:45,18,22.0
18:50,18,22.0
18:55,17,22.0
19:00,17,20.0
19:05,16,20.0
19:10,16,20.0
19:15,16,20.0
19:20,15,20.0
19:25,15,20.0
19:30,14,14.0
19:35,14,14.0
19:40,14,14.0
19:45,13,14.0
19:50,13,14.0
19:55,13,14.0
20:00,13,13.0
20:05,12,13.0
20:10,12,13.0
20:15,12,13.0
20:20,11,13.0
20:25,11,13.0
20:30,11,13.0
20:35,11,13.0
20:40,10,13.0
20:45,10,13.0
20:50,10,13.0
20:55,10,13.0
21:00,9,13.0
21:05,9,13.0
21:10,9,13.0
21:15,9,13.0
21:20,8,13.0
21:25,8,13.0
21:30,8,13.0
21:35,8,13.0
21:40,8,13.0
21:45,7,13.0
21:50,7,13.0
21:55,7,13.0
22:00,7,7.0
22:05,7,7.0
22:10,6,7.0
22:15,6,7.0
22:20,6,7.0
22:25,6,7.0
22:30,6,6.0
22:35,6,6.0
22:40,6,6.0
22:45,5,6.0
22:50,5,6.0
22:55,5,6.0
23:00,5,6.0
23:05,5,6.0
23:10,5,6.0
23:15,5,6.0
23:20,5,6.0
23:25,5,6.0
23:30,5,5.0
23:35,5,5.0
23:40,5,5.0
23:45,5,5.0
23:50,5,5.0
23:55,5,5.0
